,pseado,tweet,lesreaction
119,laviondebernard@laviondebernard·21 août,Allez  on continue pour qu'il n'y ait pas de demi-mesures et qu'on s'attaque VRAIMENT aux jets privés et au comportement destructeur de leurs propriétaires ! ,"32 réponses, 85 Retweets, 427 J'aime"
120,Mickaël Correia@MickaCorreia·20 août,"En une seule journée, le triple vol du jet privé du groupe Bolloré a brûlé autant de CO2 que dix ans d'empreinte carbone d’une personne désireuse de préserver le climat.","16 réponses, 342 Retweets, 935 J'aime"
121,Christian B@petimiti·58 min,"Le leader français du jet privé VallJet n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Bénéficiaire d’importantes aides publiques, elle se préparerait de plus à contourner la future réforme européenne sur le carbone.","13 Retweets, 7 J'aime"
122,proust hate account @Shamyeow·19h,Après la grand-mère qui fait son plein chez Total elle part pas en jet privé pour faire Paris-Nice donc la question de la responsabilité me semble un peu plus compliquée que ça m'enfin,"1 réponse, 16 Retweets, 87 J'aime"
123,la meuf là@niemesia·26 août,"Plus de golf, plus de jet privé, ils veulent simplement tuer nos vacances je pense","43 réponses, 50 Retweets, 1576 J'aime"
124,Jean Massiet #ZEVENT2022@JeanMassiet·20 août,Vous aussi vous mettez vos allocations de rentrée scolaire de côté pour économiser et vous acheter un jet privé ?,"120 réponses, 293 Retweets, 4042 J'aime"
125,marco@MARCLANDES40·48 min,Oh la vache @julienbayou !! Un Jet Privé venant d’Oslo a osé passer au dessus de chez moi!! Pour atterrir en Espagne!! Il a de la chance que j’avais pas ma sarbacane sous la main !!,"1 Retweet, 4 J'aime"
126,Vegan Pussy™ @hypnofaz·22 min,Bernard Arnault avec son jet privé consomme en une journée l'équivalent d'une vie entière mais c'est toujours sur les prolo qui partent en vacances 1 fois par an que vous tapez faudrait aller toucher de l'herbe à un moment,"2 Retweets, 7 J'aime"
127,H - LIBERTY  @HL_iberty·22 août,"Interdire en France les jets privés n'empêchera pas le jet privé d'exister.
Cela empêchera juste la France d'en fabriquer et d'en vendre.

Les écologistes sont nos ennemis de l'intérieur, ils creusent notre tombe à toute vitesse","1 réponse, 14 Retweets, 42 J'aime"
128,WE JUST NUKED A BUILDING@dondastic·24 août,je vais bien me faire chier pour rien pdt qu’Elon Musk prend son jet privé pour 12 minutes de vol,"1 réponse, 4 Retweets, 10 J'aime"
129,"Villageois radicalisé, humble domestique @Nestorburna·15 min",Bientôt elle va nous dire qu'il faut arrêter de faire chier les bourges avec leurs Jet privé parce-qu'ils ont travaillé dur pour se les offrir ,6 J'aime
130,laviondebernard@laviondebernard·21 août,Allez  on continue pour qu'il n'y ait pas de demi-mesures et qu'on s'attaque VRAIMENT aux jets privés et au comportement destructeur de leurs propriétaires ! ,"32 réponses, 85 Retweets, 427 J'aime"
131,Mickaël Correia@MickaCorreia·20 août,"En une seule journée, le triple vol du jet privé du groupe Bolloré a brûlé autant de CO2 que dix ans d'empreinte carbone d’une personne désireuse de préserver le climat.","16 réponses, 342 Retweets, 935 J'aime"
132,Edwy Plenel@edwyplenel·1h,"ENQUÊTE @Mediapart révèle comment @VALLJET, première compagnie française d’aviation d’affaires, bénéficiaire d'importantes aides publiques, n’a pas compensé financièrement ses énormes émissions de gaz à effet de serre. Par @MickaCorreia","62 Retweets, 89 J'aime"
133,Views@viewsfrance·22 août,"Julien Bayou, député et secrétaire général des Verts, appelle à bannir les jets privés, qui sont trop souvent des « déplacements caprices »

« Un jet privé pollue dix fois plus qu’un avion, il est temps de les bannir »","3 réponses, 41 Retweets, 224 J'aime"
134,Guillaume QUINTIN @GuillaumeQ1T1·3h,"Mettre sur le même plan le jet privé de #BernardArnault, dont les moyens financiers sont quasi illimités et la vieille Laguna diesel de M. Michu, smicard, fallait y penser… 

#PresseDeMerde","2 réponses, 24 Retweets, 31 J'aime"
135,BFMTV@BFMTV·22 août,"D'après le président d'Excell'Jets, le transport en jet privé ""n'a jamais aussi bien marché""","15 réponses, 35 Retweets, 34 J'aime"
136,Attac France@attac_fr·22 août,"En pleine crise climatique, les ultra-riches prennent l'avion comme on prend le vélo. 

Pour rappeler les ordres de grandeur, une heure de jet privé émet autant de carbone qu'un Français moyen dans sa voiture pendant un an. #BernardArnaultÀVélo

Voici quelques chiffres ","65 réponses, 550 Retweets, 825 J'aime"
137,Soso Jaeger @SosoLaBavure·20 août,Des gens montent au créneau pour contester alors qu’ils ont pas de jet privé et qu’ils en auront jamais,"1 réponse, 15 Retweets, 49 J'aime"
138,Views@viewsfrance·22 août,"Julien Bayou, député et secrétaire général des Verts, appelle à bannir les jets privés, qui sont trop souvent des « déplacements caprices »

« Un jet privé pollue dix fois plus qu’un avion, il est temps de les bannir »","3 réponses, 41 Retweets, 224 J'aime"
139,Alain Martin @AlainMartin458·20 août,"Les jets sont la cause de 0,14% des émissions de CO2 dans le monde.
Mais seulement 5% de ces vols sont d'ordre privé.
Donc ils sont responsables de 0,007% des émissions de CO2
P'tain c prioritaire effectivement !
Pov Bayou....","61 réponses, 298 Retweets, 844 J'aime"
140,l’Anarcho-Poète𒊺@anarchopoete·24 août,"jet privé ?
non, privé de jet.","2 Retweets, 15 J'aime"
141,Jean-Marc Jancovici@JMJancovici·24 août,"Clément Beaune souhaite réguler les vols en jets privés
Commentaire de Jancovici sur Linkedin : https://linkedin.com/posts/jean-marc-jancovici_cl%C3%A9ment-beaune-souhaite-r%C3%A9guler-les-vols-activity-6968105124430807040-JAte?utm_source=share&utm_medium=member_desktop…","12 réponses, 24 Retweets, 78 J'aime"
142,Thierry de Cabarrus@tcabarrus·20 août,"#ClementBeaune réfléchit à réguler les vols de jets privés au niveau européen. ""Sans tomber dans la démagogie, ni dans la chasse ad hominem, dit-il, il y a un certain nombre de comportements qui ne passent plus"".","55 réponses, 31 Retweets, 125 J'aime"
143,Cemil Şanlı@Cemil·20 août,"Je ne pensais pas si nombreux les pauvres gens qui, jamais ne verront ni n'useront d'un jet privé, mais qui aujourd'hui s'acharnent à défendre la jouissance égoïste de quelques-uns qui mettent pourtant en péril leur propre avenir.

Au secours.","72 réponses, 249 Retweets, 1338 J'aime"
144,Ministère Écologie Déserté  (parodie)@VilainCat·27 août,"""La piscine, c'est pas quelque chose d'élitiste, ce sont des Français qui ne partent pas en vacances, qui ont une piscine en kit ou un jet privé : c'est totalement démagogique""","1 réponse, 4 Retweets, 21 J'aime"
145,djonne mcfly #СлаваУкраїні@DjonneMcfly·2h,"EXCLUSIF : Bernard Arnault nous ouvre son jet privé : ""grâce à ce dispositif très évolué basé sur la blockchain je peux disperser de l'emploi partout où je vole.""","1 Retweet, 4 J'aime"
146,Soso Jaeger @SosoLaBavure·20 août,Des gens montent au créneau pour contester alors qu’ils ont pas de jet privé et qu’ils en auront jamais,"1 réponse, 15 Retweets, 49 J'aime"
147,mc danse pour le climat@math_caill·23 août,"C'est quoi votre liberté préférée entre pouvoir disposer librement de son corps, avoir accès à de l'eau potable ou voyager en jet privé pour faire Paris-Dijon ?","46 réponses, 53 Retweets, 474 J'aime"
148,Insφumis Toujours φ  @LFI_Forever·25 août,La provocation ultime d’un riche serait d’installer une piscine dans son jet privé.,"170 réponses, 182 Retweets, 1602 J'aime"
149,Manon Aubry@ManonAubryFr·22 août,"On vient de vivre un été de chaos climatique, et des milliardaires achètent leur droit à polluer avec leur jet et yacht privé.

En 1h ils polluent ce qu'un  émet en un an.

Il est temps de les mettre à contribution plutôt que de faire payer les + pauvres qui polluent moins.","336 réponses, 266 Retweets, 591 J'aime"
150,Vilain Syndicaliste@MarxFanAccount·23 août,"""Une heure d'utilisation d'un jet privé équivaut à un an d'utilisation de la voiture pour un français moyen.""
@ManonDrv","16 réponses, 128 Retweets, 677 J'aime"
151,Le Parisien@le_Parisien·20 août," INFO LE PARISIEN | Clément Beaune veut «réguler les vols en jet privé»

Le ministre délégué aux Transports compte faire des propositions à la rentrée, dans le cadre des discussions gouvernementales sur le «plan sobriété»","96 réponses, 78 Retweets, 170 J'aime"
152,Olivier Truchot@Olivier_Truchot·4h,"C’est la rentrée ! Finie l’abondance, rangé le jet privé, bâchée la piscine privée, retour  demain dans les GG à 9h00 sur @RMCInfo et @RMCStory Nouveau studio, nouveau décor mais la même liberté de ton !","92 réponses, 38 Retweets, 355 J'aime"
153,Jean Massiet #ZEVENT2022@JeanMassiet·21 août,"Ça vous dit un petit stream Flight Simulator Jet Privé cette aprem ? 

Champagne et armement des toboggans","20 réponses, 10 Retweets, 554 J'aime"
154,David Belliard@David_Belliard·20 août,"Un avion sur 10 qui volent est aujourd'hui un jet privé. Ces avions rejettent 10 fois plus de carbone qu'un avion classique, et sont 50 fois plus polluant que le train. Tout cela pour une poignée de nantis. On ne peut plus se le permettre, oui interdisons les jets privés !","616 réponses, 409 Retweets, 1760 J'aime"
155,Cédric Abdilla@CedAbdilla·25 août,"La fin de l'abondance ? Pour les autres bien sûr. Les amis de Macron continueront d'utiliser leur jet privé, les voitures continueront de tourner pendant le conseil des ministres pour garder la clim et ils continueront d'aller voter en Falcon... #MacronNousPrendPourDesCons","2 réponses, 24 Retweets, 44 J'aime"
156,Memes libertariens @memelibertarien·21 août,"Quand ils ont voulu interdire les jets privés, je n'ai rien dis car je n'avais pas de jet privé","79 réponses, 303 Retweets, 760 J'aime"
157,Tanaïs@EricTanais·25 août,C’est la piscine du Golf du Touquet où @Portes_Thomas s’est rendu en jet privé ?,"1 réponse, 4 Retweets, 10 J'aime"
158,Emmet Awesome @emmet_awesome·23 août,"Rappelons que l'intégralité du programme écolo de LREM c'est demander aux Français de faire des efforts individuels mais ça chiale dès qu'on parle jet privé ou piscine privée.

Bref les pauvres faites des efforts","1 réponse, 4 Retweets, 26 J'aime"
159,ManU@ManU20682903·20 août,"Les #JG et #LFI qui critiquent les milliardaires et leurs jet privé...
Quand ils brûlaient des pneus et des palettes dans les ronds points, ils s'en branlaient un peu du dérèglement climatique !","22 réponses, 151 Retweets, 554 J'aime"
160,Blemont Denis@BlemontD·22 août,"C’est admirable une lucidité écologique qui s’éveille ! 
Le ministre des Transports, Clément Beaune, dit qu’on doit agir et réguler les vols en jet privé, alors que son gouvernement excluait jets et yachts de l’assiette de l’impôt sur la fortune il y a 5 ans !","1 réponse, 29 Retweets, 73 J'aime"
161,Fabien Roussel@Fabien_Roussel·25 août,"L'abondance, l'insouciance, ce n'est pas celle des Français, c'est celle des super-riches ! 

Celle de Bernard Arnault qui fait décoller son jet privé pour un vol de 10 minutes.
#Malo2022","107 réponses, 76 Retweets, 217 J'aime"
162,3amo Tony@Tony3chrin·24 août,"Pendant que tu perds 1kg par jour à vue d’oeil en mangeant du sel et de l’eau croupie pour « sauver la Terre », une petasse de télé réalité et son zamel de mari prennent tranquillement un jet privé pour faire un voyage de 10min et aller manger une crêpe #RIPBOZO","5 Retweets, 16 J'aime"
163,Ze Clint @ZeClint·24 août,Ça parle de jet privé mais tout le monde continue de bouffer de l’ananas toute l’année sous toutes les latitudes … les ordres de grandeur bordel !!!,"64 réponses, 67 Retweets, 623 J'aime"
164,EXOCET RESCUE@Exocet_R·24 août,"Pilote de Jet Prive entre l'Australie et la Russie, je confirme que tout va bien pour Poutine et les Russes. Le rouble au plus haut, ils rigolent des ""sanctions"" qui mettent l’économie des français ""a genoux"" tout en vendant leur gaz et leur blé plus cher
Bravo Macron et Lemaire","9 réponses, 86 Retweets, 108 J'aime"
165,EnZigZag @EnZigZag·23 août,"Les jets privés, les piscines privées, ... Le problème, c'est pas leurs impacts sur l'environnement, c'est surtout le fait que ce soit privé ","1 réponse, 5 Retweets, 18 J'aime"
166,Brut FR@brutofficiel·23 août,Bientôt une loi sur les vols en jet privé ?,"12 réponses, 25 Retweets, 78 J'aime"
167,RiposteRépublicaine@RipRepublicaine·23 août,"Le programme @EELV #nupes c est interdire

- jet privé:0.14% de pollution
- yacth:0.20% 
- piscine privée:1.2% 

Donc avec 100% de populisme ils règlent: 1.54% du problème 

 le gouvernement reforme
- nucleaire 25% 
- transport (elec + train) 29%
- baisse conso des batiments 20%","44 réponses, 202 Retweets, 360 J'aime"
168,BFMTV@BFMTV·23 août,"Julien Bayou (@julienbayou) dénonce ""les vols caprices"" en jet privé qui polluent ""10 fois plus que des vols classiques""","83 réponses, 32 Retweets, 76 J'aime"
169,djonne mcfly #СлаваУкраїні@DjonneMcfly·2h,ALERTE : nos équipes vous proposent en exclusivité mondiale la photo d'un milliardaire qui crée des emplois à l'aide de son #JetPrivé ! ,"1 réponse, 3 Retweets, 8 J'aime"
170,DJELLE@DJELLE_·27 août,Ils voyagent dans leur jet privé et arrivés à destination mangent un steak et ils veulent que tu achètes une auto électrique et que tu manges des insectes...,"8 réponses, 16 Retweets, 77 J'aime"
171,Blemont Denis@BlemontD·26 août,"Tout ce que sait faire Macron, c’est de nous culpabiliser. 
Les gueux doivent se serrer la ceinture pendant que sa femme s’offre de la vaisselle digne de Marie-Antoinette pour un ½ million d’euros et que ses amis les nantis, gavés par lui, vont faire du golf en jet privé !","8 réponses, 77 Retweets, 221 J'aime"
172,Ministère Écologie Déserté  (parodie)@VilainCat·24 août,"Face à la polémique, Bernard Arnault tient à préciser que son jet privé consomme moins que 27.500 voitures, ce qui participe à la diminution du trafic automobile.","3 réponses, 30 Retweets, 132 J'aime"
173,Mø@iammoknoll·31 min,Le leader français du jet privé brûle la planète en toute impunité @VALLJET,1 J'aime
174,Memes libertariens @memelibertarien·19 août,"""Et tu vois le problème c'est que les riches exploitent les ouvriers qui créent toute la richesse d'une entreprise alors qu'eux ne produisent rien du tout. En plus ils polluent la planète avec leur jet privé. Moi perso je suis anticapitaliste et...""","6 réponses, 9 Retweets, 142 J'aime"
175,"Danièle FAVARI  Ecrivaine, actus, société@daniele_favari·24 août","Manque plus que le jet privé. Ah non, c'est vrai, il a le Falcon de la République...","2 réponses, 7 Retweets, 20 J'aime"
176,Nicolas Chéron@NCheron_bourse·25 août,"Message du gouvernement 

Laissez les riches faire du jet ski, 
Laissez les riches faire du jet privé,
Laissez les riches s’enrichir, 
Laissez les riches décider,
Et serrez vous la ceinture bande de gueux l’abondance c’est terminé*. 

(*pour vous)","125 réponses, 211 Retweets, 1292 J'aime"
177,Mac Lesggy@MacLesggy·20 août,"Je subodore que si l’on compare le CO2 potentiellement économisé par cette mesurette avec, par exemple, le CO2 économisé par la remise en route de #Fessenheim (10 à 12 Mt) cela finira en éclat de rire.  « La maison brûle… »
 #urgenceclimatique #stopCO2","168 réponses, 318 Retweets, 1219 J'aime"
178,Manon Aubry@ManonAubryFr·22 août,"Le coût climatique du vol d'un jet privé équivaut à une année de consommation d'un français lambda !

En une heure de vol, les ultra riches dépassent déjà le quota d'émissions qui permettrait de respecter les accords de Paris.

Il faut mettre un terme à ce scandale ! #BFMTV","15 réponses, 33 Retweets, 114 J'aime"
179,Ministère Écologie Déserté  (parodie)@VilainCat·23 août,"Climat: le ministre des transports Clément Beaune réfléchit à une régulation des trajets en automobile privée car ""il n'est plus acceptable que des millions d'automobilistes polluent quand les millionnaires font l'effort de se déplacer en jet privé""","14 Retweets, 49 J'aime"
180,Sisyphe@tobacc0vanilla·1h,"Ce mec n’est jamais entré dans un jet privé de sa vie et il tweet ça, j’appelle ça de la prostitution",2 J'aime
181,legrugru@legrugru·14h,"Un moyen simple de diminuer les vols en jet privé serait d'imposer suffisamment les clients de ces vols pour qu'ils n'en aient plus les moyens, mais on va encore m'accuser de communisme.","7 réponses, 15 Retweets, 101 J'aime"
182,Arnaud ABEL@ArnaudAbel·23 août,Un dernier plouf et puis je prends mon jet privé pour rentrer.,"15 réponses, 6 Retweets, 200 J'aime"
183,Festé_94 @PublicEnem_y·25 août,Préparez-vous à vous laver dans un dé à coudre pendant que l'élite mondialiste auto-proclamée fera du jet ski ou du jet privé...,"3 réponses, 24 Retweets, 62 J'aime"
184,Laila leh@LehLadak·23h,"Rassurant ce qu'ils nous proposent 
Qt à Eux ils continueront à faire le tour du monde en yacht ou en jet privé ","1 Retweet, 2 J'aime"
185,Telematin@telematin·26 août,"En France, 1 avion sur 10 est un jet privé avec 4,7 passagers par vol. Autrement dit, dans le monde, 1% des passagers sont responsables de 50% des émissions de CO2  (@Modomodo)","1 réponse, 7 Retweets, 11 J'aime"
186,Ornikkar™@ornikkar·23 août,Je n'ose pas installer une piscine dans mon jet privé.,"21 réponses, 32 Retweets, 180 J'aime"
187,Pascale Clark@PascaleClark·22 août,1h de jet privé = 1 an de voiture #carbone,"22 réponses, 62 Retweets, 186 J'aime"
188,Cyril Dion@cdion·25 août,"Moment #DontLookUp #5822 : comment expliquer à une journaliste incrédule qu’entre l’habitabilité de la planète et faire du golf ou prendre un jet privé, il y a des priorités.
Merci Yamina Saheb.","231 réponses, 537 Retweets, 2385 J'aime"
189,𝐃𝐉 𝐒𝐍𝐀𝐊𝐄 𝐀𝐋𝐆𝐄𝐑𝐈𝐀@SnakeAlgeria_dz·25 août,"Dj Snake : pas besoin de jet privé. 
Grand Bravo ","3 réponses, 10 Retweets, 64 J'aime"
190,Renaud Tarlet @RenaudTarlet·25 août,"Cet élément de langage seriné sans arrêt sans une once d'originalité selon lequel on se serait contre les jets privés"" ""par jalousie et parce que vous êtes frustrés..."" 
Soyez prudents, vous êtes certains que vouloir un jet privé c'est pas précisément un truc de frustré ?","1 réponse, 8 Retweets, 30 J'aime"
191,Sarah Bosquet@Sarahbosquet·59 min,"« un vol privé d’1 h 25 produit plus de CO2 qu’un an d’empreinte carbone d’une personne désireuse de préserver le climat ». Voilà voilà 
L'enquête de @MickaCorreia sur VallJet dans @Mediapart :",3 J'aime
192,Vincent@_20_100·26 août,faut-il  être vacciné pour prendre  son jet privé ?,"5 réponses, 18 J'aime"
193,franceinfo@franceinfo·20 août,"Climat : Clément Beaune réfléchit à une régulation des vols en jet privé
https://francetvinfo.fr/meteo/climat/climat-clement-beaune-reflechit-a-une-regulation-des-vols-en-jet-prive_5317993.html…","400 réponses, 244 Retweets, 522 J'aime"
194,Dubief Marc@DubiefMarc·21 août,"La politique de l'immédiateté ou comment traiter des non sujets.
Les #rodéos attendront, plus difficile, plus utile.
Ça rappelle la fermeture des centrales charbon (1% de la production) : un non sujet qui a permis à #Macron d'affirmer qu'il a fait le job.","8 réponses, 31 Retweets, 52 J'aime"
195,Professeur Estceque @profestceque·25 août,"Est-ce que l'éjaculation est considérée comme un jet privé 
#jetprive #abondance","13 réponses, 10 Retweets, 72 J'aime"
196,Ghibellin fuggiasco@Franco57124579·24 août,"Logique ! 
VIDÉO - Jet privé, piscine individuelle, golf: ""La crise climatique fait que certaines activités doivent disparaître"", affirme Yamina Saheb (GIEC) https://bfmtv.com/environnement/climat/jet-prive-piscine-individuelle-golf-la-crise-climatique-fait-que-certaines-activites-doivent-disparaitre-affirme-yamina-saheb-giec_VN-202208230705.html… via @BFMTV","6 Retweets, 19 J'aime"
197,Valérie Manteau @ManteauV·23 août,"Samedi, pendant que des gens regardent des séries sur le petit écran de leur jet privé, on sera sur la Halle Delacroix à Noailles, en plein air comme il se doit, à se faire une petite toile en l'occurrence MARIUS ET JEANNETTE il y aura un grand banquet et Robert Guédiguian jdcjdr","14 Retweets, 45 J'aime"
198,"Leonid Brejnev, настоящий большевик ☭☭@I_brejnev·22 août","L'interdiction des jets privés... Une mesure qui cartonne depuis longtemps auprès de nos camarades de la @FranceInsoumise.

#TeamBolchevik #ecologie @eelv #jetprive","1 réponse, 6 Retweets, 18 J'aime"
199,Laurence @Laurenc78466182·2 min,"Sponsorisée avec nos deniers, qui ne paye pas sa taxe carbone européenne à cause de l'incurie de la France (et qui travaille pour l'éviter) et pollue comme un français qui aurait 2000 ans l'existence !

#abondancegate !",
200,diogene2607@diogene2607·23 août,"Fake : 
Les milliardaires ne créent pas d’emplois, ils exploitent le travail des autres…
Le parasitisme social érigé en modèle ultime…

Véran opposé à l’interdiction des vols en jet privé, « créateurs d’emplois » - Le Point","5 réponses, 22 Retweets, 43 J'aime"
201,Renaud Tarlet @RenaudTarlet·23 août,"Non, une poignée de milliardaires n'a pas le droit de mettre la planète en danger pour des trajets en jet privé #rodeosclimatiques

Je compte sur vous tous pour faire monter ce hashtag !","10 réponses, 164 Retweets, 280 J'aime"
202,Renaud Tarlet @RenaudTarlet·20 août,J'aime mieux des milliardaires privés de jet qu'en jet privé.,"6 réponses, 43 Retweets, 189 J'aime"
203,Sale_Gosse@sale_gose·24 août,Vous pensez vraiment que les propriétaires de yachts de Lamborghini de Ferrari de jet privé sont concernés par une baisse d'abondance ? la planète appartient aux riches #MacronNousPrendPourDesCons,"40 réponses, 320 Retweets, 921 J'aime"
204,Loopsider@Loopsidernews·20 août,"Six tonnes de CO2 c’est ce qu’émet un Français normal sur une année. Ou le jet privé du groupe Bolloré, pour faire un Paris-Marseille en juillet dernier. 

Pourquoi être un milliardaire, ça pollue énormément ? On en parle avec Alexandre Poidatz (OXFAM).","5 réponses, 42 Retweets, 76 J'aime"
205,Valérie Manteau @ManteauV·23 août,"Samedi, pendant que des gens regardent des séries sur le petit écran de leur jet privé, on sera sur la Halle Delacroix à Noailles, en plein air comme il se doit, à se faire une petite toile en l'occurrence MARIUS ET JEANNETTE il y aura un grand banquet et Robert Guédiguian jdcjdr","14 Retweets, 45 J'aime"
206,Un être humain@Un_EtreHumain·27 août,"Ils commencent à vous vendre le #PassCarboneDeLaHonte dans les médias détenus par Bernard Arnault dont le bilan carbone de ses déplacements en jet privé en mai 2022 dépasse de loin celui d’un Français sur 17 ans.

Deux ans qu'on vous prévient.","1 réponse, 24 Retweets, 30 J'aime"
207,Srewob Nicky@GaiLuronNicky·23 août,"Devant la polémique sur son jet privé, Bernard Arnault s’est contenté d'acheter un TGV privé à 25 millions d’euros.","18 réponses, 43 Retweets, 98 J'aime"
208,Nils Wilcke@paul_denton·24 août,"Oubliez leur pollution monstre, le jet privé à toutes les qualités pour ses défenseurs: ""Il créé de l’emploi"", tente Véran. Mieux, il serait presque économique: ""Sur des vols très courts, la note d’un taxi peut parfois être supérieure"", s'envole le Figaro, propriété de Dassault","69 réponses, 385 Retweets, 1474 J'aime"
209,Patrice Bacchin@pat_bacc·23 août,"Un Paris-Nice en jet privé représente à cette échelle à peine moins que les émissions pour l’utilisation moyenne d’une voiture pendant un an (1,9 tonne de CO2) ou 11 mois de chauffage pour une maison à l’énergie électrique

Un graphique intéressant 
https://ouest-france.fr/economie/transports/avion/un-vol-en-jet-prive-est-ce-si-polluant-c8e94632-2232-11ed-a185-6588d059195b…","6 Retweets, 6 J'aime"
210,Gérard Soulier @estival48·23 août,Quel clown ! Créations d'emplois pour un jet privé : un pilote et une hôtesse ! #veran ,"1 réponse, 9 Retweets, 22 J'aime"
211,Dubief Marc@DubiefMarc·21 août,"Les nazes irresponsables ont fermé #Fessenheim (4gr CO2/kWh) réouvert les deux centrales à charbon (900gr CO2/kWh) qu'ils ont fermées à grand bruit, et ils nous bassinent avec les #jetprive ... 
#Macron","2 réponses, 80 Retweets, 162 J'aime"
212,Loopsider@Loopsidernews·20 août,"Six tonnes de CO2 c’est ce qu’émet un Français normal sur une année. Ou le jet privé du groupe Bolloré, pour faire un Paris-Marseille en juillet dernier. 

Pourquoi être un milliardaire, ça pollue énormément ? On en parle avec Alexandre Poidatz (OXFAM).","5 réponses, 42 Retweets, 76 J'aime"
213,Purdey #BlanquerDemission@corinnecadoret·52 min,"Bon, j'avais pas le moral, j'ai pris un bain avec la musique à fond dans la salle de bain. Je sais, j'aggrave mon cas.
Promis, je vais éteindre le wifi la nuit , je ferai pipi sous la douche et pas de sortie en jet privé la semaine prochaine ",5 J'aime
214,Vertumne @Vertumne1·27 août,"Notez comme le quotidien des Français (acheter un steak, faire le plein) est mis dans le même sac que les extravagances d'une poignée de gens (jet privé). 

Bien entendu, les riches achèteront leurs points carbone alors que vous en serez réduit à bouffer des burgers d'insectes.","7 réponses, 33 Retweets, 177 J'aime"
215,Marschall Truchot Story@BFMStory·22 août,"D'après le président d'Excell'Jets, le transport en jet privé ""n'a jamais aussi bien marché""",
216,Ingénieure _Dakodak_@_Dakodak_·24 août,Je fais pipi dans la douche de mon jet privé donc si je ne l'utilise plus je vais faire où ???,"1 réponse, 1 Retweet, 37 J'aime"
217,#🅼#@__SuperMo__·25 août,"Arrêtez de voyager en jet privé 
Arrêtez de manger du caviar 
C’est la fin de l’abondance sachez le !","2 réponses, 1 Retweet, 13 J'aime"
218,Eric Wemba@EricWemba2·19 août,"François Beya deja dans les aires 
Il va atterrir à l'hôpital américain de paris  samedi pour des soins appropriés 
L'ex conseiller de Felix Tshisekedi a quitté kinshasa à bord d'un jet privé affrété  par Sasou","1 réponse, 4 Retweets, 19 J'aime"
219,Actu43.fr@Actu43_fr·21 août,Un jet privé en un mois a émis en CO2 l’équivalent d’un français moyen en 17 ans ... ,"2 Retweets, 4 J'aime"
220,Anakin Skywalker #VadorOfficiel #Vador2027@Anakin2017·21 août,"C'est exactement cela.... ""Au début je n'ai pas bougé car je n'ai pas de jet privé....""","1 réponse, 2 Retweets, 10 J'aime"
221,LIPTON_GLACÈ@lipton_glacee·22 août,"Si tout va bien dans 2 semaines je m’achète un jet privé décapotable, 1Xbet","17 réponses, 27 Retweets, 155 J'aime"
222,Jean Michel Leficus@JLeficus·24 août,"Le jour ou il ne restera plus qu'un litre de pétrole et qu'il faudra choisir s'il faut le mettre dans une ambulance ou dans un jet privé, j'espère que vous pourrez aller à l'hôpital à pied.","3 réponses, 45 Retweets, 300 J'aime"
223,Lakhloufi Youssef@LakhloufiY·21 août,Comme ce n'est pas un jet privé ça va alors.,"1 réponse, 4 J'aime"
224,Pas d'aéroport en Andorre@NonAeropAndorre·25 août,"""Que représentent les 1 800 kg de CO2 d’un Paris-Nice en jet privé ? C’est l’équivalent de 11 mois de chauffage pour une maison à l’énergie électrique, ou 2,5 mois au gaz de ville.""
https://ouest-france.fr/economie/transports/avion/un-vol-en-jet-prive-est-ce-si-polluant-c8e94632-2232-11ed-a185-6588d059195b…","5 Retweets, 5 J'aime"
225,Mediapart@Mediapart·20 min,"Pour lire l'enquête de @MickaCorreia en intégralité, rendez-vous sur Mediapart :","1 réponse, 4 Retweets, 4 J'aime"
226,* Je suis en Mode Guerre * macron@Patrick49000P·26 août,"Pour ne pas être tracé de ses déplacements en Jet Privé,  Bernard #Arnault a décidé de louer un Jet Privé
Le Mec est vraiment blindé
Allez,  faite le calcul pour 24H dont 8H de sommeil","1 réponse, 14 Retweets, 12 J'aime"
227,C. Cailleaux@C_Cailleaux·23 août,"Les arguments défendant le droit à bousiller la planète avec son jet privé sont in fine les mêmes que ceux qui s’opposent à un impôt sur la fortune : « les vrais pbs sont ailleurs, c’est de la jalousie, les riches vont fuir, c’est impossible dans un seul pays », etc.","2 réponses, 18 Retweets, 78 J'aime"
228,Bernard RIVIERE #soutienMacron@BernardRIVIERE5·20 août,"#populisme ! 
La totalité du transport aérien produit 2,1 % des émissions mondiales de CO2 dont :
- 220 vols privés / an en France
- 30 500 000 vols commerciaux / an dans le monde avec des avions qui polluent 20 à 30 fois plus qu'un jet privé 

Vite ! Une #LoiAntiConneries","31 réponses, 93 Retweets, 160 J'aime"
229,Mickaël Correia@MickaCorreia·2h,"Pour les passionnés, la méthodologie utilisée pour suivre les vols de VallJet a été celle de @i_fly_Bernard
","2 Retweets, 14 J'aime"
230,Eliakhÿnn Novëa@eliakhynn·21 août,"Écoute mec, moi j’suis pour le compromis. Aussi je propose qu’en attendant qu’on fasse voler ton enclume avec 0 carbone, on balance un missile sol air sur chaque jet privé en vol.","5 Retweets, 16 J'aime"
